home_office,deal_status,name,created,country,industry,custom_keywords,modified,fund,drive_url,company_name,key,drive_id,document_type,deal_team
Miami,Closed / Unrealized,Stant - LEK Industry Report.pdf,2014-05-27T14:25:16.735160,U.S.,Automotive,"Auto,Emissions,Gas Caps,Manufacturing,Aftermarket",2019-02-22T08:08:44.286446,LBO,,Stant,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPqFngoM,id:5761645611581440",,Consultant Study / Industry Reports,"Lewis Schoenwetter,Roman Krislav,Jon Fox,Evan Sameroff"
Miami,Closed / Unrealized,Stant - Management Presentation (9.12.07).pdf,2014-05-27T14:25:25.827020,U.S.,Automotive,"Auto,Emissions,Gas Caps,Manufacturing,Aftermarket",2019-02-22T08:09:05.070184,LBO,,Stant,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwJva9woM,id:6155966827462656",,Lender/Management Presentation,"Lewis Schoenwetter,Roman Krislav,Jon Fox,Evan Sameroff"
Miami,Closed / Unrealized,Stant - Partner Presentation_6 26 08.pdf,2014-05-27T14:25:36.798530,U.S.,Automotive,"Auto,Emissions,Gas Caps,Manufacturing,Aftermarket",2019-02-22T08:08:18.930435,LBO,,Stant,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPrK1gkM,id:5447357084729344",,Investment Committee Decks (Internal),"Lewis Schoenwetter,Roman Krislav,Jon Fox,Evan Sameroff"
Miami,Closed / Unrealized,Stant CIM.pdf,2014-05-27T14:25:46.535580,U.S.,Automotive,"Auto,Emissions,Gas Caps,Manufacturing,Aftermarket",2019-02-22T08:09:09.155502,LBO,,Stant,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4OLyhwsM,id:6227179331387392",,Intermediary CIM,"Lewis Schoenwetter,Roman Krislav,Jon Fox,Evan Sameroff"
New York,Closed / Realized,Stax Report on SJK.pdf,2014-05-27T14:25:56.547050,U.S.,Consumer Products,"Retail,Fashion,Apparel",2019-02-22T08:08:05.190637,Bayside,,St. John Knits,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgN3rnQkM,id:5197794386116608",,Consultant Study / Industry Reports,"David Robbins,Christian Hoffman"
New York,Closed / Realized,Stax Report on SJK.pdf,2014-05-27T14:11:41.984500,U.S.,Consumer Products,"Retail,Fashion,Apparel",2019-02-22T08:07:54.663709,Bayside,,St. John Knits,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMzzgQkM,id:5074919532527616",,Consultant Study / Industry Reports,"David Robbins,Christian Hoffman"
Miami,Closed / Unrealized,Stock Purchase and Sale Agreement.pdf,2014-05-27T16:07:05.846180,U.S.,Food - Beverage,"Food,FPH,Purchase Agreement,Sponsor Owned,MWE",2019-02-22T08:09:28.202129,LBO,,Food Processing Holdings,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMya1wsM,id:6575993422610432",,Executed Legal Docs,"Ricky Stokes,Jon Fox,Jesse Greenberg,Richard Qian"
Hamburg,Early Pass,StormInfoMemo(October2015).pdf,2016-03-03T22:04:22.775670,Germany,Business Services,"Hail,Repair,paintless dent removal",2019-02-22T08:08:39.625150,Europe,,KHS Europe,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPrKlgoM,id:5728832061440000",,Intermediary CIM,Christian Kraul-von Renner
Hamburg,Early Pass,Storsack_MD Presentation_12.Nov2009_v4.pdf,2014-05-23T12:59:08.011800,Germany,Building Products,"Big Bags,Packaging",2019-02-22T08:07:24.573970,Europe,,Storsack,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLq8gAgM,id:4505676780929024",,Investment Committee Decks (Internal),"Wolfgang Biedermann,Johannes Natterer,Marc Schmidt,Jï¿½rn-Marc Vogler"
Hamburg,Early Pass,Strategy Deutsch 2010.pdf,2016-03-03T22:21:24.480590,Germany,Business Services,"Advertising,marketing services,Agency,Walking assets",2019-02-22T08:07:59.189367,Europe,,Commarco,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwJvajwkM,id:5135620036886528",,Intermediary CIM,"Wolfgang Biedermann,Christian Kraul-von Renner,Klaas Reineke"
